Lon,Lat,Alt,Name,ID,Procurement number,Type,Location
103.7712316,1.3006657,0,1 Lamp post - CP2A in front E3A,1,76,Ground,Lamp post - CP2A in front E3A
103.7705849,1.2994913,0,2 Roof - E1A upper roof,2,60,Roof-3axis,Roof - E1A upper roof
103.771021,1.299327,0,3 Lamp post - in between E2-E1A,3,62,Ground,Lamp post - in between E2-E1A
103.7707762,1.2988649,0,4 Railing - E1 level 2,4,3,Ground,Railing - E1 level 2
103.7707442,1.2982314,0,5 Railing - next to EW1,5,75,Ground,Railing - next to EW1
103.7704,1.298318,0,6 Roof - SDE3 ,6,73,Roof,Roof - SDE3 
103.7727216,1.2992411,0,7 Column - shelter next to E8,7,61,Ground,Column - shelter next to E8
103.773258,1.301106,17.89,8 Lamp post - U-Turn in front of LKCNH Museum,8,29,Ground,Lamp post - U-Turn in front of LKCNH Museum
103.7745906,1.2997078,0,9 Lamp post - roundabout YIH,9,25,Ground,Lamp post - roundabout YIH
103.772713,1.297254,40.19,10 Lamp post - bus stop NUS IT,10,11,Ground,Lamp post - bus stop NUS IT
103.772434,1.2965394,0,11 Column - AS8 / bus stop Central Library,11,6,Ground,Column - AS8 / bus stop Central Library
103.771604,1.294852,0,12 Roof - AS3,12,72,Roof,Roof - AS3
103.7714074,1.2938584,0,13 Lamp post - CP14 in front of AS5,13,48,Ground,Lamp post - CP14 in front of AS5
103.7700675,1.2932205,0,14 Open ground - Eusoff Hall,14,42,Ground,Open ground - Eusoff Hall
103.7730675,1.2948823,0,15 Lamp post - CP13 School of Computing,15,33,Ground,Lamp post - CP13 School of Computing
103.7743067,1.2925401,0,16 Roof - BIZ1,16,67,Roof-3axis,Roof - BIZ1
103.7745159,1.292331,0,17 Open ground - next to BIZ1,17,32,Ground,Open ground - next to BIZ1
103.7746966,1.2955404,0,18 Lamp post - CP11 in front of Synchrotron,18,31,Ground,Lamp post - CP11 in front of Synchrotron
103.7760502,1.2944,0,19 Roof - i4,19,9,Roof,Roof - i4
103.7790622,1.2929163,0,20 Open ground - next to PGP Road,20,47,Ground,Open ground - next to PGP Road
103.7809051,1.2914303,0,21 Open ground - King Edward VII Hall,21,36,Ground,Open ground - King Edward VII Hall
103.7808492,1.2910229,0,22 Lamp post - to PGPR carpark,22,13,Ground,Lamp post - to PGPR carpark
103.7809957,1.2901026,0,23 Column - near PGP water feature / pool,23,65,Ground,Column - near PGP water feature / pool
103.7826313,1.2915112,0,24 Roof - PGP Blk 2,24,14,Roof,Roof - PGP Blk 2
103.777999,1.297994,14.25,25 Lamp post - next to running track,25,18,Ground,Lamp post - next to running track
103.7775112,1.2981447,0,26 Open ground - tennis court,26,39,Ground,Open ground - tennis court
103.779833,1.298542,16.44,27 Open ground - NUS Sports Field,27,24,Ground,Open ground - NUS Sports Field
103.780752,1.298142,14.34,28 Lamp post - CP10 behind S17,28,50,Ground,Lamp post - CP10 behind S17
103.7791314,1.2965411,0,29 Open ground - CP6 between S7 and S13,29,37,Ground,Open ground - CP6 between S7 and S13
103.7798717,1.2957313,0,30 Lamp post - next to S8,30,68,Ground,Lamp post - next to S8
103.780151,1.296682,16.02,31 Lamp post - next to S16,31,17,Ground,Lamp post - next to S16
103.7816137,1.2958681,0,32 Lamp post - walkway between MD7-MD11,32,69,Ground,Lamp post - walkway between MD7-MD11
103.7811338,1.2946994,0,33 Lamp post - in front of CELS lobby,33,16,Ground,Lamp post - in front of CELS lobby
103.7780026,1.2947748,0,34 Open ground - Kent Ridge Road next to road to No 9 & 10,34,56,Ground,Open ground - Kent Ridge Road next to road  to No 9 & 10
103.7731643,1.3083404,0,35 Roof - UTown Residential College 4,35,77,Roof-3axis,Roof - UTown Residential College 4
103.7732876,1.3060987,0,36 Open ground - UTown opposite Tembusu College,36,43,Ground,Open ground - UTown opposite Tembusu College
103.773191,1.305505,0,37 Roof - UTown Education Resource Centre,37,74,Roof,Roof - UTown Education Resource Centre
103.7730639,1.3054725,0,38 Column - UTown ERC seating,38,45,Ground,Column - UTown ERC seating
103.772124,1.3042456,0,39 Lamp post - opposite Stephen Riady Centre ,39,57,Ground,Lamp post - opposite Stephen Riady Centre 
103.7738481,1.3033163,0,40 Lamp post - opposite UTown Plaza,40,44,Ground,Lamp post - opposite UTown Plaza
